numero,titulo,url_detalle,descripcion,total_recursos_texto,fecha_apertura_texto
978,Convocatoria Fortalecimiento De Capacidades Nacionales Para La Soberanía Sanitaria De Colombia,https://minciencias.gov.co/node/9542,"Impulsar la investigación, el desarrollo y la innovación en salud para fortalecer las capacidades locales y territoriales, ampliar  la disponibilidad de conocimientos, tecnologías y servicios  innovadores, y consolidar la soberanía sanitaria del país  mediante la promoción de solucion",$109.000.000.000,"Miércoles, Julio 15, 2026"
48,"CONVOCATORIA DE LA ASIGNACIÓN PARA LA CIENCIA, TECNOLOGÍA E INNOVACIÓN DEL SISTEMA GENERAL DE REGALÍAS (SGR) PARA PROVEER SOLUCIONES DE CIENCIA, TECNOLOGÍA E INNOVACIÓN PARA EL APROVECHAMIENTO SOSTENIBLE DE LA BIODIVERSIDAD, LA PRODUCTIVIDAD Y EL FORTALEC",https://minciencias.gov.co/node/9531,"Contribuir al fortalecimiento de las capacidades territoriales, el conocimiento y el uso sostenible de la biodiversidad, promoviendo soluciones innovadoras y productivas en el marco de la bioeconomía para una Colombia más competitiva, productiva y biodiversa.",$749.982.430.291,"Martes, Junio 16, 2026"
977,Convocatoria de Clasificación y Reconocimiento de Revistas Científicas Nacionales - Publindex 2026,https://minciencias.gov.co/node/9343,"Medir la calidad y el impacto de la producción científica nacional mediante la categorización de revistas científicas especializadas bajo estándares de excelencia editorial, promoviendo su inclusión en Sistemas de Resúmenes e Indexación (SIRes) de visibilidad global y la consolidación de la tipologí",,"Miércoles, Abril 8, 2026"
,Concurso Movilidad Académica Internacional en el Continente Africano,https://minciencias.gov.co/node/9339,"Fortalecer las capacidades en I+D+i en mujeres beneficiarias del programa Orquídeas y de las convocatorias 960 de 2024 y 964 de 2025, mediante la participación en una movilidad académica internacional de corta duración en instituciones de alto nivel de África, a través de la conformación de un",$2.700.000.000,"Miércoles, Abril 1, 2026"
976,CONVOCATORIA COLOMBIA INTELIGENTE 2026,https://minciencias.gov.co/node/9326,"Fortalecer la Investigación Aplicada, el Desarrollo Tecnológico y la Innovación en ciencias y tecnologías cuánticas e Inteligencia  Artificial, contribuyendo al desarrollo ambiental, social y  económico de las regiones en el marco de la Política de  Investigación e Innovación Orientad",$24.000.000.000,"Viernes, Marzo 13, 2026"
975,Convocatoria de “Becas para El Cambio” Formación en Maestrías y Doctorados,https://minciencias.gov.co/node/9325,"Fortalecer el capital humano de alto nivel mediante el otorgamiento de apoyos económicos a profesionales universitarios colombianos  que deseen iniciar estudios de maestría y doctorado nacional y  doctorado en el exterior, a través de la conformación de un banco  de elegibles.",$279.588.000.000,"Viernes, Marzo 13, 2026"
52,FORTALECIMIENTO DE CAPACIDADES TERRITORIALES EN SITUACIONES DE EMERGENCIA,https://minciencias.gov.co/node/9322,"Conformar un listado de proyectos elegibles en etapa de inversión que, mediante actividades de ciencia, tecnología e innovación, contribuyan a la recuperación y fortalecimiento territorial frente a los impactos de eventos climáticos extremos, promoviendo resiliencia ecosistémica, seguridad alimentar",$ 100.000.000.000,"Jueves, Marzo 12, 2026"
49,"CONVOCATORIA ENERGÍA SOSTENIBLE PARA EL TERRITORIO: TRANSICIÓN JUSTA, COMUNITARIA E INNOVADORA. PLAN BIENAL DE CONVOCATORIAS SISTEMA GENERAL DE REGALÍAS 2025 – 2026",https://minciencias.gov.co/node/9321,"Impulsar el desarrollo de proyectos de I+D+i en soluciones energéticas sostenibles, adaptadas a los contextos territoriales y comunitarios, que garanticen el acceso equitativo a energía limpia, promuevan la innovación local y fortalezcan las capacidades técnicas y sociales para una transición energé",$ 377.639.957.602,"Jueves, Marzo 12, 2026"
47,AGRO POR LA VIDA Y POR LA TIERRA: GARANTIZAR EL DERECHO HUMANO A LA ALIMENTACIÓN (DHA) Y LA SOBERANÍA ALIMENTARIA,https://minciencias.gov.co/node/9320,"Impulsar el Derecho Humano a la Alimentación y la Soberanía Alimentaria mediante el desarrollo de proyectos de ciencia, tecnología e innovación orientados al fortalecimiento de sistemas productivos sostenibles, la economía campesina, familiar, étnica y comunitaria y el uso de tecnologías apropiadas",$ 446.515.026.467,"Jueves, Marzo 12, 2026"
974,Convocatoria de “BECAS PARA EL CAMBIO” formación en maestrías y doctorados Región Pacífico,https://minciencias.gov.co/node/9298,"Fortalecer la formación de capital humano de alto nivel, mediante el otorgamiento de apoyos económicos a profesionales universitarios colombianos con lugar de nacimiento en los municipios de la Región Pacífico señalados en el dirigido a, interesados en cursar un programa de maestría o doctorado en l",$55.152.841.200,"Martes, Febrero 17, 2026"
